max_size	None
min_freq	None
unknown	<unk>
padding	<pad>
rebuild	False

!	114	96	0
思	2	1129	0
监	2	1130	0
池	3	993	0
正	20	416	0
囊	1	1330	0
抢	7	711	0
久	7	712	0
旱	2	1131	0
编	5	836	0
厂	29	309	0
即	13	532	0
萍	1	1331	0
幼	19	431	0
志	51	194	0
招	8	666	0
卸	14	514	0
‬	5	837	0
党	4	897	0
委	10	589	0
洋	2	1132	0
录	3	994	0
入	8	667	0
审	4	898	0
文	9	624	0
档	2	1133	0
含	1	1332	0
悉	3	995	0
参	3	996	0
随	9	625	0
早	9	626	0
疾	8	668	0
控	6	760	0
隔	3	997	0
武	8	669	0
警	6	761	0
登	1	1333	0
搬	6	762	0
孙	5	838	0
林	6	763	0
莲	1	1334	0
娣	1	1335	0
良	4	899	0
暖	5	839	0
荆	2	1134	0
陇	2	1135	0
海	20	417	0
兵	13	533	0
杨	7	713	0
极	6	764	0
八	27	327	0
岗	22	390	0
派	4	900	0
伞	2	1136	0
霍	1	1336	0
香	5	840	0
姐	19	432	0
妹	4	901	0
惠	4	902	0
济	5	841	0
森	2	1137	0
造	4	903	0
空	5	842	0
精	4	904	0
啥	5	843	0
候	6	765	0
苑	11	567	0
哪	7	714	0
亨	5	844	0
泽	5	845	0
亲	18	447	0
许	6	766	0
私	5	846	0
绳	4	905	0
箱	6	767	0
杀	4	906	0
樱	6	768	0
桃	7	715	0
记	5	847	0
拨	3	998	0
群	29	310	0
暂	7	716	0
伤	6	769	0
介	1	1337	0
绍	1	1338	0
站	40	246	0
侯	4	907	0
沿	7	717	0
岸	3	999	0
顿	6	770	0
屯	9	627	0
拔	1	1339	0
启	6	771	0
浩	2	1138	0
偏	4	908	0
瘦	1	1340	0
嘴	2	1139	0
角	2	1140	0
字	7	718	0
玉	2	1141	0
昆	1	1341	0
京	4	909	0
隧	3	1000	0
另	2	1142	0
蹚	1	1342	0
五	26	339	0
教	6	772	0
职	4	910	0
舍	5	848	0
缆	3	1001	0
筹	1	1343	0
刚	17	473	0
宇	9	628	0
场	25	352	0
啦	2	1143	0
呀	4	911	0
富	4	912	0
什	4	913	0
锡	1	1344	0
顺	3	1002	0
橡	3	1003	0
星	5	849	0
九	6	773	0
育	5	850	0
隆	2	1144	0
福	9	629	0
距	3	1004	0
遥	1	1345	0
陷	6	774	0
沉	1	1346	0
降	9	630	0
肉	2	1145	0
类	8	670	0
蔬	11	568	0
菜	16	483	0
性	9	631	0
碗	1	1347	0
筷	1	1348	0
套	5	851	0
潮	2	1146	0
垫	2	1147	0
纸	4	914	0
杯	1	1349	0
巾	2	1148	0
锦	6	775	0
绣	3	1005	0
凯	2	1149	0
坑	4	915	0
辰	1	1350	0
丽	3	1006	0
漏	2	1150	0
堪	1	1351	0
厅	2	1151	0
怕	4	916	0
隐	2	1152	0
勉	1	1352	0
楚	6	776	0
氏	4	917	0
骨	2	1153	0
